date Wed May 14 04:10:07.149 PM 2025
base hex  timestamps absolute
internal events logged
Begin Triggerblock Wed May 14 04:10:07.185 PM 2025
 0.000000 Start of measurement
 0.591510 1  ErrorFrame
 0.592870 1  ErrorFrame
 0.594235 1  ErrorFrame
 0.595596 1  ErrorFrame
 0.596995 1  ErrorFrame
 0.598310 1  ErrorFrame
 0.599677 1  ErrorFrame
 0.601037 1  ErrorFrame
 0.602389 1  ErrorFrame
 0.603750 1  ErrorFrame
 0.605139 1  ErrorFrame
 0.606476 1  ErrorFrame
 0.607832 1  ErrorFrame
 0.609211 1  ErrorFrame
 0.610560 1  ErrorFrame
 0.611912 1  ErrorFrame
 0.613275 1  ErrorFrame
 0.614633 1  ErrorFrame
 0.615990 1  ErrorFrame
 0.617351 1  ErrorFrame
 0.618729 1  ErrorFrame
 0.620076 1  ErrorFrame
 0.621454 1  ErrorFrame
 0.622792 1  ErrorFrame
 0.624148 1  ErrorFrame
 0.625510 1  ErrorFrame
 0.626873 1  ErrorFrame
 0.628233 1  ErrorFrame
 0.629619 1  ErrorFrame
 0.630958 1  ErrorFrame
 0.632313 1  ErrorFrame
 0.633673 1  ErrorFrame
 0.635031 1  ErrorFrame
 0.636395 1  ErrorFrame
 0.637752 1  ErrorFrame
 0.639135 1  ErrorFrame
 0.640473 1  ErrorFrame
 0.641842 1  ErrorFrame
 0.643191 1  ErrorFrame
 0.644549 1  ErrorFrame
 0.645910 1  ErrorFrame
 0.647269 1  ErrorFrame
 0.648627 1  ErrorFrame
 0.650012 1  ErrorFrame
 0.651355 1  ErrorFrame
 0.652715 1  ErrorFrame
 0.654071 1  ErrorFrame
 0.655448 1  ErrorFrame
 0.656793 1  ErrorFrame
 0.658154 1  ErrorFrame
 0.659510 1  ErrorFrame
 0.660870 1  ErrorFrame
 0.662235 1  ErrorFrame
 0.663591 1  ErrorFrame
 0.664997 1  ErrorFrame
 0.666313 1  ErrorFrame
 0.667676 1  ErrorFrame
 0.669064 1  ErrorFrame
 0.670417 1  ErrorFrame
 0.671769 1  ErrorFrame
 0.673130 1  ErrorFrame
 0.674476 1  ErrorFrame
 0.675832 1  ErrorFrame
 0.677191 1  ErrorFrame
 0.678552 1  ErrorFrame
 0.679911 1  ErrorFrame
 0.681271 1  ErrorFrame
 0.682632 1  ErrorFrame
 0.683991 1  ErrorFrame
 0.685350 1  ErrorFrame
 0.686710 1  ErrorFrame
 0.688091 1  ErrorFrame
 0.689448 1  ErrorFrame
 0.690820 1  ErrorFrame
 0.692153 1  ErrorFrame
 0.693510 1  ErrorFrame
 0.694872 1  ErrorFrame
 0.696232 1  ErrorFrame
 0.697590 1  ErrorFrame
 0.698948 1  ErrorFrame
 0.700312 1  ErrorFrame
 0.701676 1  ErrorFrame
 0.703039 1  ErrorFrame
 0.704406 1  ErrorFrame
 0.705776 1  ErrorFrame
 0.707115 1  ErrorFrame
 0.708471 1  ErrorFrame
 0.709828 1  ErrorFrame
 0.711210 1  ErrorFrame
 0.712551 1  ErrorFrame
 0.713911 1  ErrorFrame
 0.715269 1  ErrorFrame
 0.716637 1  ErrorFrame
 0.717989 1  ErrorFrame
 0.719370 1  ErrorFrame
 0.720731 1  ErrorFrame
 0.722099 1  ErrorFrame
 0.723432 1  ErrorFrame
 0.724789 1  ErrorFrame
 0.726151 1  ErrorFrame
 0.727509 1  ErrorFrame
 0.728870 1  ErrorFrame
 0.730233 1  ErrorFrame
 0.731617 1  ErrorFrame
 0.733000 1  ErrorFrame
 0.734313 1  ErrorFrame
 0.735672 1  ErrorFrame
 0.737035 1  ErrorFrame
 0.738413 1  ErrorFrame
 0.739753 1  ErrorFrame
 0.741118 1  ErrorFrame
 0.742469 1  ErrorFrame
 0.743828 1  ErrorFrame
 0.745188 1  ErrorFrame
 0.746550 1  ErrorFrame
 0.747914 1  ErrorFrame
 0.749271 1  ErrorFrame
 0.750628 1  ErrorFrame
 0.752012 1  ErrorFrame
 0.753357 1  ErrorFrame
 0.754750 1  ErrorFrame
 0.756087 1  ErrorFrame
 0.757433 1  ErrorFrame
 0.758790 1  ErrorFrame
 0.760149 1  ErrorFrame
 0.761512 1  ErrorFrame
 0.762874 1  ErrorFrame
 0.764238 1  ErrorFrame
 0.765591 1  ErrorFrame
 0.766951 1  ErrorFrame
 0.768310 1  ErrorFrame
 0.769704 1  ErrorFrame
 0.771034 1  ErrorFrame
 0.772429 1  ErrorFrame
 0.773758 1  ErrorFrame
 0.775111 1  ErrorFrame
 0.776470 1  ErrorFrame
 0.777831 1  ErrorFrame
 0.779188 1  ErrorFrame
 0.780552 1  ErrorFrame
 0.781912 1  ErrorFrame
 0.783270 1  ErrorFrame
 0.784632 1  ErrorFrame
 0.785995 1  ErrorFrame
 0.787352 1  ErrorFrame
 0.788724 1  ErrorFrame
 0.790073 1  ErrorFrame
 0.791431 1  ErrorFrame
 0.792808 1  ErrorFrame
 0.794154 1  ErrorFrame
 0.795510 1  ErrorFrame
 0.796875 1  ErrorFrame
 0.798237 1  ErrorFrame
 0.799590 1  ErrorFrame
 0.800991 1  ErrorFrame
 0.802315 1  ErrorFrame
 0.803672 1  ErrorFrame
 0.805057 1  ErrorFrame
 0.806393 1  ErrorFrame
 0.807751 1  ErrorFrame
 0.809113 1  ErrorFrame
 0.810470 1  ErrorFrame
 0.811838 1  ErrorFrame
 0.813215 1  ErrorFrame
 0.814553 1  ErrorFrame
 0.815911 1  ErrorFrame
 0.817269 1  ErrorFrame
 0.818635 1  ErrorFrame
 0.820019 1  ErrorFrame
 0.821360 1  ErrorFrame
 0.822731 1  ErrorFrame
 0.824076 1  ErrorFrame
 0.825432 1  ErrorFrame
 0.826790 1  ErrorFrame
 0.828156 1  ErrorFrame
 0.829511 1  ErrorFrame
 0.830876 1  ErrorFrame
 0.832231 1  ErrorFrame
 0.833616 1  ErrorFrame
 0.834958 1  ErrorFrame
 0.836313 1  ErrorFrame
 0.837672 1  ErrorFrame
 0.839052 1  ErrorFrame
 0.840396 1  ErrorFrame
 0.841753 1  ErrorFrame
 0.843109 1  ErrorFrame
 0.844473 1  ErrorFrame
 0.845833 1  ErrorFrame
 0.847191 1  ErrorFrame
 0.848551 1  ErrorFrame
 0.849916 1  ErrorFrame
 0.851270 1  ErrorFrame
 0.852631 1  ErrorFrame
 0.854039 1  ErrorFrame
 0.855379 1  ErrorFrame
 0.856714 1  ErrorFrame
 0.858075 1  ErrorFrame
 0.859432 1  ErrorFrame
 0.860794 1  ErrorFrame
 0.862152 1  ErrorFrame
 0.863509 1  ErrorFrame
 0.864872 1  ErrorFrame
 0.866234 1  ErrorFrame
 0.867589 1  ErrorFrame
 0.868985 1  ErrorFrame
 0.870336 1  ErrorFrame
 0.871698 1  ErrorFrame
 0.873039 1  ErrorFrame
 0.874408 1  ErrorFrame
 0.875763 1  ErrorFrame
 0.877117 1  ErrorFrame
 0.878474 1  ErrorFrame
 0.879831 1  ErrorFrame
 0.881193 1  ErrorFrame
 0.882553 1  ErrorFrame
 0.883909 1  ErrorFrame
 0.885269 1  ErrorFrame
 0.886627 1  ErrorFrame
 0.888011 1  ErrorFrame
 0.889358 1  ErrorFrame
 0.890712 1  ErrorFrame
 0.892076 1  ErrorFrame
 0.893435 1  ErrorFrame
 0.894815 1  ErrorFrame
 0.896154 1  ErrorFrame
 0.897512 1  ErrorFrame
 0.898875 1  ErrorFrame
 0.900233 1  ErrorFrame
 0.901589 1  ErrorFrame
 0.902953 1  ErrorFrame
 0.904312 1  ErrorFrame
 0.905691 1  ErrorFrame
 0.907038 1  ErrorFrame
 0.908424 1  ErrorFrame
 0.909791 1  ErrorFrame
 0.911120 1  ErrorFrame
 0.912471 1  ErrorFrame
 0.913842 1  ErrorFrame
 0.915235 1  ErrorFrame
 0.916557 1  ErrorFrame
 0.917911 1  ErrorFrame
 0.919268 1  ErrorFrame
 0.920638 1  ErrorFrame
 0.922045 1  ErrorFrame
 0.923354 1  ErrorFrame
 0.924717 1  ErrorFrame
 0.926073 1  ErrorFrame
 0.927433 1  ErrorFrame
 0.928790 1  ErrorFrame
 0.930158 1  ErrorFrame
 0.931511 1  ErrorFrame
 0.932872 1  ErrorFrame
 0.934233 1  ErrorFrame
 0.935607 1  ErrorFrame
 0.937027 1  ErrorFrame
 0.938341 1  ErrorFrame
 0.939678 1  ErrorFrame
 0.941044 1  ErrorFrame
 0.942395 1  ErrorFrame
 0.943752 1  ErrorFrame
 0.945114 1  ErrorFrame
 0.946475 1  ErrorFrame
 0.947833 1  ErrorFrame
 0.949193 1  ErrorFrame
 0.950551 1  ErrorFrame
 0.951912 1  ErrorFrame
 0.953272 1  ErrorFrame
 0.954632 1  ErrorFrame
 0.956026 1  ErrorFrame
 0.957356 1  ErrorFrame
 0.958711 1  ErrorFrame
 0.960068 1  ErrorFrame
 0.961432 1  ErrorFrame
 0.962793 1  ErrorFrame
 0.964152 1  ErrorFrame
 0.965511 1  ErrorFrame
 0.966868 1  ErrorFrame
 0.968226 1  ErrorFrame
 0.969601 1  ErrorFrame
 0.970952 1  ErrorFrame
 0.972359 1  ErrorFrame
 0.973676 1  ErrorFrame
 0.975034 1  ErrorFrame
 0.976402 1  ErrorFrame
 0.977759 1  ErrorFrame
 0.979113 1  ErrorFrame
 0.980468 1  ErrorFrame
 0.981856 1  ErrorFrame
 0.983207 1  ErrorFrame
 0.984549 1  ErrorFrame
 0.985914 1  ErrorFrame
 0.987269 1  ErrorFrame
 0.988649 1  ErrorFrame
 0.989993 1  ErrorFrame
 0.991369 1  ErrorFrame
 0.992715 1  ErrorFrame
 0.994079 1  ErrorFrame
 0.995432 1  ErrorFrame
 0.996801 1  ErrorFrame
 0.998160 1  ErrorFrame
 0.999513 1  ErrorFrame
 1.000871 1  ErrorFrame
 1.002231 1  ErrorFrame
 1.003594 1  ErrorFrame
 1.005010 1  ErrorFrame
 1.006316 1  ErrorFrame
 1.007668 1  ErrorFrame
 1.009034 1  ErrorFrame
 1.010394 1  ErrorFrame
 1.011751 1  ErrorFrame
 1.013116 1  ErrorFrame
 1.014473 1  ErrorFrame
 1.015832 1  ErrorFrame
 1.017202 1  ErrorFrame
 1.018554 1  ErrorFrame
 1.019919 1  ErrorFrame
 1.021295 1  ErrorFrame
 1.022648 1  ErrorFrame
 1.023997 1  ErrorFrame
 1.025357 1  ErrorFrame
 1.026713 1  ErrorFrame
 1.028071 1  ErrorFrame
 1.029431 1  ErrorFrame
 1.030788 1  ErrorFrame
 1.032149 1  ErrorFrame
 1.033509 1  ErrorFrame
 1.034869 1  ErrorFrame
 1.036231 1  ErrorFrame
 1.037600 1  ErrorFrame
 1.038972 1  ErrorFrame
 1.040312 1  ErrorFrame
 1.041673 1  ErrorFrame
 1.043031 1  ErrorFrame
 1.044390 1  ErrorFrame
 1.045750 1  ErrorFrame
 1.047113 1  ErrorFrame
 1.048470 1  ErrorFrame
 1.049832 1  ErrorFrame
 1.051194 1  ErrorFrame
 1.052552 1  ErrorFrame
 1.053910 1  ErrorFrame
 1.055285 1  ErrorFrame
 1.056630 1  ErrorFrame
 1.058006 1  ErrorFrame
 1.059355 1  ErrorFrame
 1.060712 1  ErrorFrame
 1.062075 1  ErrorFrame
 1.063427 1  ErrorFrame
 1.064789 1  ErrorFrame
 1.066163 1  ErrorFrame
 1.067510 1  ErrorFrame
 1.068871 1  ErrorFrame
 1.070234 1  ErrorFrame
 1.071607 1  ErrorFrame
 1.073022 1  ErrorFrame
 1.074326 1  ErrorFrame
 1.075675 1  ErrorFrame
 1.077036 1  ErrorFrame
 1.078401 1  ErrorFrame
 1.079757 1  ErrorFrame
 1.081114 1  ErrorFrame
 1.082471 1  ErrorFrame
 1.083844 1  ErrorFrame
 1.085193 1  ErrorFrame
 1.086550 1  ErrorFrame
 1.087928 1  ErrorFrame
 1.089289 1  ErrorFrame
 1.090640 1  ErrorFrame
 1.091994 1  ErrorFrame
 1.093351 1  ErrorFrame
 1.094708 1  ErrorFrame
 1.096071 1  ErrorFrame
 1.097430 1  ErrorFrame
 1.098802 1  ErrorFrame
 1.100166 1  ErrorFrame
 1.101511 1  ErrorFrame
 1.102871 1  ErrorFrame
 1.104256 1  ErrorFrame
 1.105663 1  ErrorFrame
 1.106956 1  ErrorFrame
 1.108312 1  ErrorFrame
 1.109675 1  ErrorFrame
 1.111030 1  ErrorFrame
 1.112389 1  ErrorFrame
 1.113773 1  ErrorFrame
 1.115117 1  ErrorFrame
 1.116474 1  ErrorFrame
 1.117835 1  ErrorFrame
 1.119205 1  ErrorFrame
 1.120553 1  ErrorFrame
 1.121935 1  ErrorFrame
 1.123281 1  ErrorFrame
 1.124633 1  ErrorFrame
 1.126001 1  ErrorFrame
 1.127350 1  ErrorFrame
 1.128711 1  ErrorFrame
 1.130077 1  ErrorFrame
 1.131434 1  ErrorFrame
 1.132797 1  ErrorFrame
 1.134153 1  ErrorFrame
 1.135513 1  ErrorFrame
 1.136873 1  ErrorFrame
 1.138259 1  ErrorFrame
 1.139606 1  ErrorFrame
 1.141000 1  ErrorFrame
 1.142312 1  ErrorFrame
 1.143671 1  ErrorFrame
 1.145048 1  ErrorFrame
 1.146400 1  ErrorFrame
 1.147758 1  ErrorFrame
 1.149120 1  ErrorFrame
 1.150471 1  ErrorFrame
 1.151831 1  ErrorFrame
 1.153189 1  ErrorFrame
 1.154577 1  ErrorFrame
 1.155915 1  ErrorFrame
